Open;High;Low;Close;Adj Close;Volume
9,72;9,94;9,7;9,94;9,94;16310700
9,8;9,94;9,54;9,57;9,57;30115800
9,88;10,11;9,86;10,1;10,1;24243400
9,98;10,43;9,97;10,19;10,19;29829100
10,4;10,78;10,37;10,55;10,55;25754300
10,77;11,01;10,77;10,92;10,92;29540300
10,96;11,02;10,66;10,77;10,77;34896100
10,75;10,96;10,61;10,63;10,63;18420700
10,72;10,81;10,42;10,56;10,56;26335400
10,78;11,39;10,69;11,26;11,26;32580100
11,06;11,17;10,95;11,13;11,13;23718200
11,2;11,29;10,87;10,9;10,9;19330200
10,99;11,19;10,89;11,14;11,14;16748400
11,07;11,33;10,94;11,29;11,29;19360500
11,41;11,53;11,31;11,37;11,37;19572200
11,36;11,44;11,24;11,29;11,29;14711200
10,73;10,95;10,66;10,76;10,76;21454400
10,85;10,9;10,72;10,83;10,83;14460900
10,88;11,16;10,86;10,94;10,94;12348400
10,98;10,98;10,77;10,97;10,97;7408900
10,99;11,1;10,91;10,99;10,99;13948000
11,11;11,15;10,96;11,05;11,05;13216100
11,04;11,25;11,04;11,21;11,21;17277200
11,18;11,27;11,14;11,23;11,23;11681200
11,43;11,6;11,08;11,19;11,19;30198200
10,92;11,64;10,91;11,52;11,52;27312900
11,64;11,89;11,51;11,62;11,62;26415900
11,82;11,84;11,57;11,69;11,69;21690900
11,86;11,88;11,52;11,69;11,69;19692000
11,38;11,54;11,27;11,4;11,4;15151400
11,57;11,76;11,45;11,72;11,72;29407700
11,59;11,62;11,15;11,21;11,21;25981400
11,24;11,59;11,16;11,53;11,53;27792900
11,04;11,14;10,85;10,9;10,9;35720500
10,94;10,97;10,7;10,88;10,88;21975800
11,05;11,07;10,8;10,83;10,83;17514800
10,85;10,86;10,43;10,53;10,53;14824300
10,15;10,33;10,04;10,19;10,19;32291200
10,11;10,12;9,81;10,09;10,09;18169400
10,4;10,57;10,29;10,35;10,35;32797000
10,28;10,68;10,03;10,34;10,34;31334300
10,63;10,73;10,4;10,55;10,55;22840300
10,24;10,32;10,02;10,05;10,05;19113800
10,18;10,42;10,05;10,28;10,28;23136200
11;11,15;10,7;10,83;10,83;32416100
10,92;11,05;10,8;10,95;10,95;19259800
10,79;10,9;10,63;10,86;10,86;14507100
